HSCode,Commodity,value,country,year
04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.0,AFGHANISTAN,2022
06,LIVE TREES AND OTHER PLANTS; BULBS; ROOTS AND THE LIKE; CUT FLOWERS AND ORNAMENTAL FOLIAGE.,0.0,AFGHANISTAN,2022
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,9.98,AFGHANISTAN,2022
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,228.79,AFGHANISTAN,2022
09,"COFFEE, TEA, MATE AND SPICES.",32.21,AFGHANISTAN,2022
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",17.92,AFGHANISTAN,2022
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",159.99,AFGHANISTAN,2022
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.51,AFGHANISTAN,2022
22,"BEVERAGES, SPIRITS AND VINEGAR.",,AFGHANISTAN,2022
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.12,AFGHANISTAN,2022
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",0.05,AFGHANISTAN,2022
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",,AFGHANISTAN,2022
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",,AFGHANISTAN,2022
39,PLASTIC AND ARTICLES THEREOF.,,AFGHANISTAN,2022
42,"ARTICLES OF LEATHER,SADDLERY AND HARNESS;TRAVEL GOODS, HANDBAGS AND SIMILAR CONT.ARTICLES OF ANIMAL GUT(OTHR THN SILK-WRM)GUT.",0.0,AFGHANISTAN,2022
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.0,AFGHANISTAN,2022
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",1.79,AFGHANISTAN,2022
52,COTTON.,0.0,AFGHANISTAN,2022
54,MAN-MADE FILAMENTS.,0.01,AFGHANISTAN,2022
56,"WADDING, FELT AND NONWOVENS; SPACIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF.",0.0,AFGHANISTAN,2022
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,0.21,AFGHANISTAN,2022
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",,AFGHANISTAN,2022
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",0.01,AFGHANISTAN,2022
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0.0,AFGHANISTAN,2022
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.0,AFGHANISTAN,2022
65,HEADGEAR AND PARTS THEREOF.,0.0,AFGHANISTAN,2022
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",,AFGHANISTAN,2022
69,CERAMIC PRODUCTS.,,AFGHANISTAN,2022
70,GLASS AND GLASSWARE.,0.0,AFGHANISTAN,2022
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",0.15,AFGHANISTAN,2022
73,ARTICLES OF IRON OR STEEL,0.23,AFGHANISTAN,2022
76,ALUMINIUM AND ARTICLES THEREOF.,,AFGHANISTAN,2022
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",0.47,AFGHANISTAN,2022
83,MISCELLANEOUS ARTICLES OF BASE METAL.,,AFGHANISTAN,2022
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0.34,AFGHANISTAN,2022
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0.02,AFGHANISTAN,2022
88,"AIRCRAFT, SPACECRAFT, AND PARTS THEREOF.",,AFGHANISTAN,2022
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",0.0,AFGHANISTAN,2022
98,PROJECT GOODS; SOME SPECIAL USES.,,AFGHANISTAN,2022
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,,ALBANIA,2022
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",0.13,ALBANIA,2022
18,COCOA AND COCOA PREPARATIONS.,,ALBANIA,2022
22,"BEVERAGES, SPIRITS AND VINEGAR.",0.02,ALBANIA,2022
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",2.31,ALBANIA,2022
29,ORGANIC CHEMICALS,,ALBANIA,2022
30,PHARMACEUTICAL PRODUCTS,0.08,ALBANIA,2022
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",,ALBANIA,2022
39,PLASTIC AND ARTICLES THEREOF.,,ALBANIA,2022
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.05,ALBANIA,2022
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.1,ALBANIA,2022
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.0,ALBANIA,2022
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",,ALBANIA,2022
70,GLASS AND GLASSWARE.,,ALBANIA,2022
72,IRON AND STEEL,7.76,ALBANIA,2022
73,ARTICLES OF IRON OR STEEL,,ALBANIA,2022
76,ALUMINIUM AND ARTICLES THEREOF.,,ALBANIA,2022
79,ZINC AND ARTICLES THEREOF.,,ALBANIA,2022
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0.1,ALBANIA,2022
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",,ALBANIA,2022
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",0.01,ALBANIA,2022
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,,ALGERIA,2022
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,3.36,ALGERIA,2022
09,"COFFEE, TEA, MATE AND SPICES.",0.06,ALGERIA,2022
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",0.01,ALGERIA,2022
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,,ALGERIA,2022
17,SUGARS AND SUGAR CONFECTIONERY.,,ALGERIA,2022
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",0.02,ALGERIA,2022
21,MISCELLANEOUS EDIBLE PREPARATIONS.,,ALGERIA,2022
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",126.61,ALGERIA,2022
26,"ORES, SLAG AND ASH.",,ALGERIA,2022
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",1136.82,ALGERIA,2022
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",,ALGERIA,2022
29,ORGANIC CHEMICALS,24.92,ALGERIA,2022
30,PHARMACEUTICAL PRODUCTS,0.0,ALGERIA,2022
31,FERTILISERS.,185.41,ALGERIA,2022
38,MISCELLANEOUS CHEMICAL PRODUCTS.,,ALGERIA,2022
39,PLASTIC AND ARTICLES THEREOF.,0.02,ALGERIA,2022
40,RUBBER AND ARTICLES THEREOF.,0.08,ALGERIA,2022
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,1.63,ALGERIA,2022
45,CORK AND ARTICLES OF CORK.,2.34,ALGERIA,2022
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,17.44,ALGERIA,2022
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",1.35,ALGERIA,2022
52,COTTON.,0.04,ALGERIA,2022
55,MAN-MADE STAPLE FIBRES.,,ALGERIA,2022
72,IRON AND STEEL,,ALGERIA,2022
73,ARTICLES OF IRON OR STEEL,0.0,ALGERIA,2022
75,NICKEL AND ARTICLES THEREOF.,0.0,ALGERIA,2022
76,ALUMINIUM AND ARTICLES THEREOF.,0.01,ALGERIA,2022
78,LEAD AND ARTICLES THEREOF.,1.47,ALGERIA,2022
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0.4,ALGERIA,2022
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0.23,ALGERIA,2022
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",,ALGERIA,2022
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",1.66,ALGERIA,2022
98,PROJECT GOODS; SOME SPECIAL USES.,,ALGERIA,2022
99,MISCELLANEOUS GOODS.,0.1,ALGERIA,2022
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",0.01,AMERI SAMOA,2022
39,PLASTIC AND ARTICLES THEREOF.,,AMERI SAMOA,2022
40,RUBBER AND ARTICLES THEREOF.,,AMERI SAMOA,2022
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",,AMERI SAMOA,2022
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0.01,AMERI SAMOA,2022
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",,AMERI SAMOA,2022
22,"BEVERAGES, SPIRITS AND VINEGAR.",,ANDORRA,2022
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",,ANDORRA,2022
22,"BEVERAGES, SPIRITS AND VINEGAR.",0.0,ANGOLA,2022
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.69,ANGOLA,2022
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",3573.31,ANGOLA,2022
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",0.4,ANGOLA,2022
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",,ANGOLA,2022
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",,ANGOLA,2022
39,PLASTIC AND ARTICLES THEREOF.,0.01,ANGOLA,2022
40,RUBBER AND ARTICLES THEREOF.,,ANGOLA,2022
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,0.23,ANGOLA,2022
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,,ANGOLA,2022
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",19.05,ANGOLA,2022
72,IRON AND STEEL,1.1,ANGOLA,2022
73,ARTICLES OF IRON OR STEEL,0.01,ANGOLA,2022
74,COPPER AND ARTICLES THEREOF.,0.15,ANGOLA,2022
76,ALUMINIUM AND ARTICLES THEREOF.,0.07,ANGOLA,2022
78,LEAD AND ARTICLES THEREOF.,4.18,ANGOLA,2022
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0.11,ANGOLA,2022
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0.01,ANGOLA,2022
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",,ANGOLA,2022
99,MISCELLANEOUS GOODS.,,ANGOLA,2022
29,ORGANIC CHEMICALS,0.02,ANGUILLA,2022
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0.01,ANGUILLA,2022
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",,ANTARTICA,2022
38,MISCELLANEOUS CHEMICAL PRODUCTS.,,ANTARTICA,2022
39,PLASTIC AND ARTICLES THEREOF.,,ANTARTICA,2022
47,PULP OF WOOD OR OF OTHER FIBROUS CELLULOSIC MATERIAL; WASTE AND SCRAP OF PAPER OR PAPERBOARD.,0.09,ANTARTICA,2022
72,IRON AND STEEL,,ANTARTICA,2022
73,ARTICLES OF IRON OR STEEL,0.0,ANTARTICA,2022
74,COPPER AND ARTICLES THEREOF.,,ANTARTICA,2022
76,ALUMINIUM AND ARTICLES THEREOF.,0.0,ANTARTICA,2022
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",0.0,ANTARTICA,2022
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0.0,ANTARTICA,2022
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",0.79,ANTARTICA,2022
39,PLASTIC AND ARTICLES THEREOF.,0.14,ANTIGUA,2022
40,RUBBER AND ARTICLES THEREOF.,0.0,ANTIGUA,2022
72,IRON AND STEEL,0.04,ANTIGUA,2022
73,ARTICLES OF IRON OR STEEL,0.0,ANTIGUA,2022
74,COPPER AND ARTICLES THEREOF.,0.01,ANTIGUA,2022
76,ALUMINIUM AND ARTICLES THEREOF.,0.0,ANTIGUA,2022
78,LEAD AND ARTICLES THEREOF.,0.07,ANTIGUA,2022
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0.0,ANTIGUA,2022
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0.27,ANTIGUA,2022
01,LIVE ANIMALS.,0.34,ARGENTINA,2022
03,"FISH AND CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTABRATES.",2.61,ARGENTINA,2022
04,"DAIRY PRODUCE; BIRDS' EGGS; NATURAL HONEY; EDIBLE PROD. OF ANIMAL ORIGIN, NOT ELSEWHERE SPEC. OR INCLUDED.",0.48,ARGENTINA,2022
07,EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS.,0.54,ARGENTINA,2022
08,EDIBLE FRUIT AND NUTS; PEEL OR CITRUS FRUIT OR MELONS.,1.35,ARGENTINA,2022
09,"COFFEE, TEA, MATE AND SPICES.",1.28,ARGENTINA,2022
10,CEREALS.,69.1,ARGENTINA,2022
12,"OIL SEEDS AND OLEA. FRUITS; MISC. GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER.",0.07,ARGENTINA,2022
13,"LAC; GUMS, RESINS AND OTHER VEGETABLE SAPS AND EXTRACTS.",0.0,ARGENTINA,2022
15,ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PRE. EDIBLE FATS; ANIMAL OR VEGETABLE WAXEX.,3297.74,ARGENTINA,2022
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS.",1.0,ARGENTINA,2022
21,MISCELLANEOUS EDIBLE PREPARATIONS.,0.02,ARGENTINA,2022
22,"BEVERAGES, SPIRITS AND VINEGAR.",0.38,ARGENTINA,2022
23,RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODER.,73.04,ARGENTINA,2022
25,"SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT.",0.22,ARGENTINA,2022
26,"ORES, SLAG AND ASH.",0.13,ARGENTINA,2022
27,"MINERAL FUELS, MINERAL OILS AND PRODUCTS OF THEIR DISTILLATION; BITUMINOUS SUBSTANCES; MINERAL WAXES.",39.23,ARGENTINA,2022
28,"INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OR RADI. ELEM. OR OF ISOTOPES.",8.48,ARGENTINA,2022
29,ORGANIC CHEMICALS,39.49,ARGENTINA,2022
30,PHARMACEUTICAL PRODUCTS,1.33,ARGENTINA,2022
31,FERTILISERS.,4.28,ARGENTINA,2022
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",3.41,ARGENTINA,2022
33,"ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS.",0.14,ARGENTINA,2022
34,"SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREP.",1.81,ARGENTINA,2022
35,ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES.,0.13,ARGENTINA,2022
38,MISCELLANEOUS CHEMICAL PRODUCTS.,14.69,ARGENTINA,2022
39,PLASTIC AND ARTICLES THEREOF.,0.47,ARGENTINA,2022
40,RUBBER AND ARTICLES THEREOF.,1.01,ARGENTINA,2022
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,43.54,ARGENTINA,2022
43,"FURSKINS AND ARTIFICIAL FUR, MANUFACTURES THEREOF.",,ARGENTINA,2022
44,WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL.,52.89,ARGENTINA,2022
48,"PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD.",,ARGENTINA,2022
49,"PRINTED BOOKDS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS.",0.0,ARGENTINA,2022
51,"WOOL, FINE OR COARSE ANIMAL HAIR, HORSEHAIR YARN AND WOVEN FABRIC.",0.87,ARGENTINA,2022
54,MAN-MADE FILAMENTS.,,ARGENTINA,2022
57,CARPETS AND OTHER TEXTILE FLOOR COVERINGS.,,ARGENTINA,2022
58,SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY.,,ARGENTINA,2022
59,"IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE.",0.0,ARGENTINA,2022
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,,ARGENTINA,2022
64,"FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES.",0.06,ARGENTINA,2022
68,"ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS.",,ARGENTINA,2022
69,CERAMIC PRODUCTS.,,ARGENTINA,2022
70,GLASS AND GLASSWARE.,0.01,ARGENTINA,2022
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",253.85,ARGENTINA,2022
72,IRON AND STEEL,0.13,ARGENTINA,2022
73,ARTICLES OF IRON OR STEEL,2.04,ARGENTINA,2022
74,COPPER AND ARTICLES THEREOF.,0.04,ARGENTINA,2022
76,ALUMINIUM AND ARTICLES THEREOF.,0.0,ARGENTINA,2022
78,LEAD AND ARTICLES THEREOF.,,ARGENTINA,2022
79,ZINC AND ARTICLES THEREOF.,,ARGENTINA,2022
81,OTHER BASE METALS; CERMETS; ARTICLES THEREOF.,0.29,ARGENTINA,2022
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",0.02,ARGENTINA,2022
83,MISCELLANEOUS ARTICLES OF BASE METAL.,0.0,ARGENTINA,2022
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",6.2,ARGENTINA,2022
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0.37,ARGENTINA,2022
86,"RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING-STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL",,ARGENTINA,2022
87,"VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF.",2.21,ARGENTINA,2022
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",3.54,ARGENTINA,2022
92,MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES.,0.04,ARGENTINA,2022
93,ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF.,0.15,ARGENTINA,2022
94,"FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHING; LAMPS AND LIGHTING FITTINGS NOT ELSEWHERE SPECIFIED OR INC",,ARGENTINA,2022
95,"TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF.",,ARGENTINA,2022
96,MISCELLANEOUS MANUFACTURED ARTICLES.,0.03,ARGENTINA,2022
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.02,ARGENTINA,2022
98,PROJECT GOODS; SOME SPECIAL USES.,0.04,ARGENTINA,2022
99,MISCELLANEOUS GOODS.,,ARGENTINA,2022
22,"BEVERAGES, SPIRITS AND VINEGAR.",0.09,ARMENIA,2022
29,ORGANIC CHEMICALS,,ARMENIA,2022
32,"TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERI. DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VER; PUTTY AND OTHER MASTICS; INKS.",,ARMENIA,2022
41,RAW HIDES AND SKINS (OTHER THAN FURSKINS) AND LEATHER,0.3,ARMENIA,2022
61,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CORCHETED.",0.01,ARMENIA,2022
62,"ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED.",0.0,ARMENIA,2022
63,OTHER MADE UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS,0.0,ARMENIA,2022
65,HEADGEAR AND PARTS THEREOF.,0.0,ARMENIA,2022
71,"NATURAL OR CULTURED PEARLS,PRECIOUS OR SEMIPRECIOUS STONES,PRE.METALS,CLAD WITH PRE.METAL AND ARTCLS THEREOF;IMIT.JEWLRY;COIN.",70.99,ARMENIA,2022
76,ALUMINIUM AND ARTICLES THEREOF.,,ARMENIA,2022
78,LEAD AND ARTICLES THEREOF.,0.18,ARMENIA,2022
82,"TOOLS IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL.",0.0,ARMENIA,2022
84,"NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF.",0.01,ARMENIA,2022
85,"ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS,AND PARTS.",0.0,ARMENIA,2022
90,"OPTICAL, PHOTOGRAPHIC CINEMATOGRAPHIC MEASURING, CHECKING PRECISION, MEDICAL OR SURGICAL INST. AND APPARATUS PARTS AND ACCESSORIES THEREOF;",1.3,ARMENIA,2022
96,MISCELLANEOUS MANUFACTURED ARTICLES.,0.0,ARMENIA,2022
97,WORKS OF ART COLLECTORS' PIECES AND ANTIQUES.,0.0,ARMENIA,2022
99,MISCELLANEOUS GOODS.,,ARMENIA,2022
